Category,Item Name,Range,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g),,
Create Your Own - Omelet,Canadian Bacon (1 oz),,35,20,2,1,0,15,300,0,0,0,5,,
Create Your Own - Omelet,Corned Beef Hash (1 oz),,50,30,3,"1,5",0,10,180,3,0,0,2,,
Create Your Own - Omelet,Chorizo (1 oz),,130,100,11,4,0,25,250,1,0,0,7,,
Create Your Own - Omelet,Ham (1 oz),,40,15,2,"0,5",0,25,270,0,0,0,5,,
Create Your Own - Omelet,Ground Beef (1 oz),,80,45,5,2,0,25,75,0,0,0,7,,
Create Your Own - Omelet,Sliced Turkey (1 oz),,25,0,0,0,0,10,210,2,0,1,4,,
Create Your Own - Omelet,Turkey Bacon (1 oz),,45,25,3,1,0,25,230,0,0,0,5,,
Create Your Own - Omelet,Turkey Sausage (1 oz),,90,60,6,2,0,40,270,0,0,0,7,,
Create Your Own - Omelet,Hollandaise Sauce (2 oz),,110,90,10,6,0,25,105,4,0,1,1,,
Create Your Own - Omelet,Sour Cream (2 oz),,60,50,5,"4,5",0,20,60,2,0,2,1,,
Create Your Own - Omelet,Salsa Fresca (2 oz),,5,0,0,0,0,0,45,1,0,1,0,,
Create Your Own - Omelet,Guacamole (2 oz),,50,40,"4,5","0,5",0,0,30,3,2,0,1,,
Create Your Own - Omelet,American Cheese (1.5 oz),,140,100,11,6,0,30,730,5,0,2,8,,
Create Your Own - Omelet,Swiss Cheese (1.5 oz),,150,110,12,8,0,40,90,2,0,0,12,,
Create Your Own - Omelet,Cheddar Cheese (1.5 oz),,170,120,14,9,0,45,270,0,0,0,11,,
Create Your Own - Omelet,Jack Cheese (1.5 oz),,150,120,14,8,0,40,260,0,0,0,11,,
Create Your Own - Omelet,Pepper Jack (1.5 oz),,150,110,12,8,0,40,290,0,0,0,11,,
Create Your Own - Omelet,Provolone Cheese (1.5 oz),,150,110,12,7,0,30,300,0,0,0,11,,
Create Your Own - Omelet,Feta Cheese (1.5 oz),,120,80,9,6,0,30,480,1,0,0,8,,
Benedicts,Choose Two,Low Range,610,340,38,18,1,480,1200,34,1,4,32,,
Benedicts,Choose Two,High Range,800,420,47,20,"0,5",485,1140,54,5,16,42,,
Benedicts,Eggs Benedict,,580,310,35,18,1,470,1550,32,1,4,36,,
Benedicts,Caprese Benedict,,720,440,49,23,1,460,960,38,2,6,33,,
Benedicts,Golden State Benedict,,700,440,50,19,1,430,970,43,8,6,24,,
Benedicts,Border Benedict,,740,420,47,22,1,500,760,44,0,19,34,,
Benedicts,Sope Benedict,,780,360,40,7,0,460,1040,107,22,7,76,,
Benedicts,Chicken & Waffle Benedict,,640,370,42,19,1,490,850,36,2,4,28,,
Skillets,Ranchero Skillet,,970,640,72,31,2,510,1180,54,12,9,38,,
Skillets,Hash Skillet,,810,450,51,28,1,480,1120,50,6,6,39,,
Skillets,Country Skillet,,800,420,47,26,0,525,1500,45,5,6,47,,
Pancakes & Waffles,Buttermilk Pancakes (Short Stack),,500,170,19,11,"0,5",40,1070,74,2,12,9,,
Pancakes & Waffles,Buttermilk Pancakes (Full Stack),,680,180,21,12,"0,5",40,1610,111,3,19,13,,
Pancakes & Waffles,Blueberry Pancakes (Short Stack),,560,170,19,11,"0,5",40,1070,91,4,24,10,,
Pancakes & Waffles,Blueberry Pancakes (Full Stack),,740,190,21,12,"0,5",40,1610,128,5,30,14,,
Pancakes & Waffles,Banana Pancakes (Short Stack),,630,170,19,12,"0,5",40,1070,109,5,32,11,,
Pancakes & Waffles,Banana Pancakes (Full Stack),,810,190,21,12,"0,5",40,1610,146,6,38,15,,
Pancakes & Waffles,Cinnacakes (Short Stack),,880,150,18,10,"0,5",11,1330,172,2,98,8,,
Pancakes & Waffles,Cinnacakes (Full Stack),,1060,170,20,11,"0,5",11,1860,209,3,103,12,,
Pancakes & Waffles,Chocolate Chip Pancakes (Short Stack),,880,350,40,24,"0,5",45,1080,117,6,53,13,,
Pancakes & Waffles,Chocolate Chip Pancakes (Full Stack),,1060,370,41,25,"0,5",45,1610,154,7,59,17,,
Pancakes & Waffles,Gluten Free Pancakes (Short Stack),,630,210,24,11,"0,5",40,1500,102,3,25,6,,
Pancakes & Waffles,Gluten Free Pancakes (Full Stack),,880,250,28,12,"0,5",40,2250,154,4,37,8,,
Pancakes & Waffles,Belgian Waffles,,390,240,27,16,1,120,430,33,1,3,5,,
Pancakes & Waffles,Banana Belgian Waffles,,480,170,19,9,0,110,430,72,4,25,6,,
Pancakes & Waffles,Strawberry Belgian Waffles,,500,160,18,9,0,110,460,78,4,43,5,,
Pancakes & Waffles,Chicken & Waffles,,1110,480,54,21,1,230,1640,107,5,21,50,,
